Site,RR_var,Time_mean,AnualTemp_05Km,CEC_05Km,DriestQuartes_25Km,ForestUntl10_25Km,NPP0010_50Km,WDeficit99_05Km,bldfie_75Km,elevation_05Km,phihox_25Km,slope_50Km,sndppt_100Km
100,-0.6298350813380015,-0.31543598863592215,0.750207753347664,-1.2301623748923687,1.3304333443526453,0.5408153986688393,-1.369481727016245,-1.2597781516965734,-1.126996307895275,-0.8478468387887222,-2.1146044600913827,-0.6131077653415468,0.9132822171546886
102,-0.5040610173946776,-0.30355043179320235,0.2298048422248263,-1.5849688818390462,-0.4964889116920238,1.0449273634850849,-0.11573373062956781,-1.0037420575956055,0.9738423240723112,0.14529632235552623,-1.4331831363339393,-0.9550552401298898,1.932269097574511
134,0.34157899991878443,-0.6957738076029544,0.6927849828415704,1.1281514607231722,0.019269128460051948,1.2957541203555532,-1.0348299004540742,-0.8810159781194331,0.14199121035004772,-0.8407890857507511,0.7602824777382662,-1.2171737705512897,-1.2868680783554411
137,-0.15476632013035335,-0.3905026634320469,0.706435263832305,0.09734110836195163,1.8315908641645666,0.7716726332339141,0.09534557578160309,-0.8713834079279893,-1.381635966713683,-0.5300748736676494,-0.44882122008691056,-0.13470126354510856,-0.41709271855206476
139,-0.3602541889144279,-0.4422152616249329,0.7705593191365718,0.4410105176300759,1.9617670089383357,0.5693844210894432,0.2714889016481443,-0.8906485483108768,-1.333622620258814,-0.8120196074270326,-0.39910591755939556,-0.11226763580460906,-0.4067864025643118
140,-0.3494522843154067,-0.2361989430177904,-1.0836354099694239,-0.5810672661165932,-0.6426686075101148,-0.2656535006346103,0.30805689626766597,0.1987832482794471,0.6498136822176607,1.4993848970411339,0.5611676468227331,0.8515691892758057,0.11354473111322794
141,-0.6363106219766514,-0.4105204433776802,0.7705593191365718,0.4410105176300759,1.9617670089383357,0.5693844210894432,0.2714889016481443,-0.8906485483108768,-1.333622620258814,-0.8120196074270326,-0.39910591755939556,-0.11226763580460906,-0.4067864025643118
142,-0.5149491036184409,0.8018063545797351,0.71723824694767,0.2885604520903885,1.1124370368905536,0.9694381553806934,-0.09777391411792545,-0.9155029578171948,-0.8109289259726199,-0.8041156932618932,-0.38372069658066327,-0.77225087996068,-0.2846599025177217
143,1.4318202715012092,1.4872067991765747,0.5196591120797827,-0.18581070152938967,-1.079657911950088,-0.8673597914576088,-1.5944613569492032,1.698491182653486,0.9222550131882441,-0.613094818803674,1.0951100061948889,-0.6529967244835965,-0.14856527895517707
153,-0.28548311229260653,-0.03652158806009845,-1.419422413885704,0.35853412510131144,-0.6645441773560042,1.169976494410706,0.9242029142912989,0.7131149282546841,0.17845480867455524,1.3441335611404788,-0.2700975530645728,2.6532178895690026,0.1658589451915241
154,-0.48655098077247044,-0.5742770043218192,0.8367573600951541,0.660177382925675,0.5923535391232303,-1.1817637291025505,-0.14418952921958036,-0.7189271735399537,0.5348636352905012,-0.9072704270375793,1.278099462672171,-0.041199809710974845,-0.15089571376370062
157,0.5948795140375506,-0.0975341131860599,0.285286913410639,0.6964249110292474,-0.02950515932528723,-1.0570550892591768,-0.5416541631321422,-0.010635962919719306,0.9197066503051563,-0.9159051167216365,0.47519888641622654,-0.7197459881902027,-2.319884218926505
158,4.068788785022181,-0.42636785250130654,-0.33097779250305626,0.7371904320230571,0.44528200558448217,-1.0828299454350914,-0.6083776089279579,-0.9530818736257901,0.9892676841454302,-0.8220581553448005,0.6197696485210235,-0.9047315590921902,-2.221897529974206
162,-0.536455268312035,4.280312657215718,-0.7987072018334836,0.056575709664460495,-1.0326249858930212,-0.19929665011305633,0.9562626750872482,0.6372435729196088,0.7374724496586049,1.347806669669777,0.5184478810687381,0.5314825598034508,0.3106588291640454
163,-0.35749713955803514,-0.6218192316926981,-0.10665161116541873,0.7667137416526586,-0.15618665373685575,-0.8235435318341907,-0.21710333032066478,0.36110989409822103,0.6437639737512342,0.4246256489945714,0.6127165868672317,-0.6648257412678157,0.13669059258991823
164,0.12670321018753344,0.04905442120748379,0.5467527030180225,0.15820492861609334,0.36261721436328037,0.21588675654984274,-1.616488192608576,-0.44422054215433554,0.7067680844170936,-0.6888454706199355,0.25810254492562246,-0.8645219915014234,-0.6949551046004273
165,-0.6174874246314014,-0.15696189739965868,0.5504464948563378,0.4810405485650953,0.07939312890592173,-1.0722449060328954,0.727508480585612,2.499659397218382,0.6101146350069531,-0.46357430144611284,1.171693518468252,-0.2540580687658585,-0.2382942617509466
168,-0.5915017441816379,-0.632384171108449,-0.6905518803389099,0.9952315057485829,-0.5255122772141104,-0.9244832227578234,1.540572144149035,0.5104741923754231,0.3380453359697627,0.4432988865963967,0.9023760906654212,0.6563868150740113,0.09779278117254107
169,-0.5403600986161735,-0.5531471254903173,0.6219141241986382,0.24561512151761689,-0.8803622666676406,-2.28129294191902,1.32270646415786,1.8698557955654664,0.6291161939352962,-0.9060204162815353,2.523974342298801,-0.6331151871720929,0.1763676298326672
173,0.3101277975566513,-0.58484194373757,-0.48828483876772466,-0.44269595274982315,-0.8912740452408235,-0.6339500728219858,0.47444744940050326,-0.38559267666814084,0.3325788126962226,0.46337598243193295,0.11057628230544293,0.8608151752448684,-0.35081165907562617
174,2.58495516652155,0.22865839127524895,0.5699558419043335,-0.01655015095293391,-0.9957037529889172,0.5271160104700159,-0.02366967228802334,0.6596006494133304,0.16783234734514016,-0.5971716048651453,0.058482262062087655,0.6705050272907129,-0.5085051955244122
175,-0.5317182655549539,0.793882650017922,0.14051104589810826,-0.3434090751842903,-0.9615560951930049,1.050103160457718,0.7772897463436614,0.549004473141198,0.011180090274622514,0.0598725103809556,-0.34720748190897033,0.8153597379120906,0.3538117077935118
176,-0.4449028019521787,-0.24412264757960359,0.14051104589810826,-0.3434090751842903,-0.9604271264660812,1.050103160457718,0.8063318041855582,0.549004473141198,0.011180090274622514,0.0598725103809556,-0.34720748190897033,0.8153597379120906,0.3538117077935118
177,-0.501578258386107,0.3026129671855053,-0.8273984683946007,-0.44899971648117354,-0.9638457874747853,-0.4123366214862943,-0.3366470616639448,0.3406555475188592,0.149393863775446,1.0814005311547552,0.6460293728666452,2.061925094007808,-0.959705706066133
3,0.43999785021977106,-0.5135286026812514,-3.924039464657303,3.1414058059676226,0.32947694456220106,-0.8446103773648774,-2.0490194687082637,-1.189496065484928,-2.25376931283954,2.863608174318051,0.18366739518087163,1.7333869427640205,0.1652284070714859
54,-0.41876911126683336,-0.7084517349018554,0.6753458491931534,-1.8802030054241357,-0.9119596214759357,-0.9463853627398459,0.7737340757948228,0.4224729338363075,1.2571474343831566,-0.5703252200122636,-1.194794407825859,-0.9208769956318671,2.6314395878231185
55,-0.43481564013424484,-0.6640789893557018,0.4876188377632978,-1.5676328895221614,-0.9165243765952933,1.9946364655351319,1.7913292389745332,0.3476718640780586,0.8877767023881754,-0.43447789723235203,-1.7018187025559302,-0.5132034600318285,1.5023305028562253
57,-0.3159024296356703,-0.5901244134454455,0.82014309281586,0.7269989906264455,1.557691709284938,1.0660856409442905,0.8744961816548624,-1.2683404363111899,-0.6454350451157154,-0.8668854641500064,-0.9093227153115753,-0.5369960272742718,-0.741229572963359
90,0.18511124893556039,1.982438334289898,-1.503055564754318,0.6152091489504344,-0.21358432882905537,1.1786682433280349,-0.22344808157116147,-0.6473369605121866,-2.5149446677851124,1.8135414464370334,-0.35013562614795446,1.5157854871277998,0.7146000815695428
93,-0.25274686334770996,-0.42636785250130654,-0.5121368054687725,-1.1117534284280421,-0.30454457328915957,-0.35069618733418517,0.7223382461676884,1.1407534765069278,0.02902533373431416,1.0950160329282799,-0.36122182107425166,-0.6419106701106407,-0.022385867330251823
96,-0.5293696169837678,-0.30275806133702104,0.03777871781321701,-0.9532095819356777,-0.5724256438592393,-0.6713691295799117,-0.6303727198494474,1.0315843476705653,0.8947000714309159,0.6409736644637114,0.7455205707955629,-0.9722592467454053,0.7668084248891711
97,-0.08919547058700669,0.0015121938366047577,0.8145905853268781,-1.3455243085840385,1.6153173691888987,-0.3990813855833042,-2.034349238681439,-1.199128635676372,-1.3153349604458981,-0.8497122394554338,-1.8608678378602144,-0.9285279948657619,0.8248283698949177
