Site,RR_var,BAI1317_10Km,cropIIS_05Km,GrossDef_100Km,IDH03_25Km,OpCostIIS_100Km_SUM,pastoIIS_10Km,PercUrbArea09_50Km,RuralPop_50Km,RuralPvty_05Km,T1RoadDensity_50Km,cdd_100Km,deltaGPWDensity0010_25Km,fty_25Km,govrnce_05Km,sa_50Km,strictlyPA_100Km
100,-0.6298350813380015,-0.5360261342453692,0.9387416558132697,3.727523759066873,0.9001753384916096,0.6051660086834177,-0.3079106225804325,-0.34351595394641227,-0.28483193368633514,-0.9180616353137296,-0.43240380688683094,3.224872315632057,-0.6010143276838839,-0.32160604958212397,1.9868479496919424,-1.577409874508662,-0.19149659409224887
102,-0.5040610173946776,-0.46238419165308037,-0.7055697629364531,-0.2932107951742631,-1.7575373272678911,-1.3324556894274944,-0.3079106225804325,-0.3603606152712787,-0.26663638398590916,1.66105517398628,-0.43240380688683094,-0.360087879532588,-0.5817432075944392,-0.46655525502758827,-1.7037666168535355,1.2157331075220292,-0.3377769286031956
134,0.34157899991878443,2.3039739297680777,-0.8157009141002773,-0.7243844929816406,0.9483223070742093,-1.3282965641049373,-0.3079106225804325,-0.2547848026198761,-0.3233249546253016,-0.9311786530293459,-0.43240380688683094,-0.31037426184990796,-0.3535228493611764,-0.46655525502758827,0.44499992694675883,-0.2225270847176551,-0.3377769286031956
137,-0.15476632013035335,-0.5257574706421662,-0.5894810419150688,-0.06470068761197491,0.7846226138933703,2.149792740313283,-0.3079106225804325,-0.22180005604655195,0.37710874250654247,-0.5502651517404568,-0.43240380688683094,-0.37394932848813606,-0.4159698380855912,-0.46655525502758827,0.48035440390142553,0.9239121989516585,-0.17461004757572704
139,-0.3602541889144279,-0.5377782226604119,-0.06666553862599535,-0.04910033227396885,0.7846226138933703,1.9906565861877792,-0.3079106225804325,-0.3034098858906069,0.3202998811767157,-0.311771257900665,-0.43240380688683094,-0.37394932848813606,-0.4391390054667574,-0.46655525502758827,0.48035440390142553,0.8405347965029811,-0.17113002715029077
140,-0.3494522843154067,-0.4118205562680691,-0.6141386434518956,-0.6966146164808774,0.5983936059976128,-1.1635936393177735,-0.16756938852426986,3.653493521707287,-1.2299432262504546,-0.02583635526773007,1.3970827146381906,-0.3515803235598706,3.0162801580806873,-0.46655525502758827,-1.9198217537987203,0.7081118632021406,-0.3377769286031956
141,-0.6363106219766514,-0.5377782226604119,-0.06666553862599535,-0.04910033227396885,0.7846226138933703,1.9906565861877792,-0.3079106225804325,-0.3034098858906069,0.3202998811767157,-0.311771257900665,-0.43240380688683094,-0.37394932848813606,-0.4391390054667574,-0.46655525502758827,0.48035440390142553,0.8405347965029811,-0.17113002715029077
142,-0.5149491036184409,-0.5400458481848167,-0.20877214941383948,0.42010421367719397,0.5425120195000935,1.8573951550569587,-0.3079106225804325,-0.3603606152712787,-0.5986196963175839,-0.8383182940221957,-0.43240380688683094,-0.37394932848813606,-0.47859155242339557,-0.46655525502758827,0.48035440390142553,0.7571573940543037,-0.20188910351511546
143,1.4318202715012092,0.19028161321677747,-0.8690690044793566,-0.4602665702763341,0.7846226138933703,0.4331326617337083,-0.3079106225804325,-0.3603606152712787,-0.9680007511963761,-0.8192641570018997,0.013299012514212302,-0.3320904974837582,-0.6487467648796941,-0.46655525502758827,0.48035440390142553,0.8048016240249765,-0.23785658333990578
153,-0.28548311229260653,-0.2525618653968305,-0.8819075099781872,-0.28815648641536024,0.18849284826665597,-0.4394712945465549,-0.3079106225804325,-0.3603606152712787,-0.3832677049953893,0.10239957655950754,-0.43240380688683094,-0.360087879532588,-0.5440366537783518,-0.46655525502758827,0.3251875328226108,0.5070251867082718,-0.3377769286031956
154,-0.48655098077247044,-0.44370690312310435,0.8427002130408827,-0.1371741650120429,0.6225313183450023,0.092871041687696207,-0.3079106225804325,-0.3603606152712787,0.48554763438855164,0.21557633840242899,-0.39442297114731695,-0.219958728336269,-0.2919191379355843,-0.46655525502758827,0.3251875328226108,0.8405347965029811,1.0603578579784187
157,0.5948795140375506,1.4682071629423827,-0.4403502092385169,-0.7631893987767335,1.250214392420197,-0.9869416965177527,0.1440799473211748,0.8568239916355131,-0.07387371810947646,-0.9311786530293459,3.184927596978925,-0.37394932848813606,-0.5308956232684566,-0.46655525502758827,1.6372314553624614,0.004566629846505677,-0.12827018218387207
158,4.068788785022181,3.2546378227665635,-0.8290712177868421,-0.7865114300379257,1.250214392420197,-1.0700642203645812,-0.3079106225804325,3.7614963048201924,-0.6636589733087026,-0.9311786530293459,3.7679105455589346,-0.37394932848813606,-0.652918090193486,-0.46655525502758827,1.6372314553624614,-0.2225270847176551,-0.08017626522873965
162,-0.536455268312035,-0.44301477972227266,-0.21755720156199312,-0.39066430321377915,0.3512998966499741,-0.054166157097451706,-0.3079106225804325,-0.3603606152712787,0.27843872090558996,0.8704265628760225,-0.43240380688683094,-0.37394932848813606,-0.4503240788433608,0.25819077219973324,0.501959917595944,-0.20168273410548565,5.156823323843444
163,-0.35749713955803514,-0.5137059889897454,0.3694768882991763,-0.5245091519045083,0.48581578629415556,-0.6963421956770598,-0.3079106225804325,-0.3603606152712787,-0.17500653331984647,-0.7765507296195281,-0.43240380688683094,-0.37394932848813606,-0.070109219201602,-0.46655525502758827,0.3251875328226108,0.8048016240249765,0.7164397392839259
