Site,RR_var,BAI1317_10Km,cropIIS_100Km,GrossDef_100Km,IDH03_50Km,OpCostIIS_100Km_SUM,PastAgric_05Km,PercUrbArea09_05Km,RuralPop_75Km,RuralPvty_50Km,T1RoadDensity_50Km,cdd_100Km,deltaGHSL9015_25Km,fty_25Km,govrnce_05Km,sa_25Km,strictlyPA_75Km
100,-0.7508490483269055,-0.49983971576491404,1.5018767593361415,3.13677643759529,0.9428631704586509,0.5871965183134085,-0.6888688387988814,-0.17677669529663687,-0.38710444070251926,-0.2164407355500866,-0.41365397774829327,2.7810469607902264,-0.715121343931346,-0.3267418003280766,1.9393421909917354,-1.279020352855288,-0.4026691513453344
102,-0.5807928359542119,-0.4085255094789276,-0.8332027920439441,-0.35329373499161765,-1.4303154174156438,-1.381395264852231,-0.6888688387988814,-0.17677669529663687,-0.36241175005070936,0.01811399922760409,-0.41365397774829327,-0.4111906611745536,-0.610176167992188,-0.4719603782516662,-1.5722296842138257,1.0933426378914695,-0.4026691513453344
134,3.6305785550869065,3.021690849137561,-0.8877465959916246,-0.7275602879363312,0.9681899731056938,-1.3771696619168778,-0.6757884039425905,-0.17677669529663687,-0.8614450206999921,-0.6375266407239929,-0.41365397774829327,-0.36692303418536854,-0.6507335992468413,-0.4719603782516662,0.4722938024678581,-0.8638568294746053,-0.4026691513453344
137,-0.19232282450913313,-0.4871068242422715,0.10830185428983387,-0.15494283672191356,0.7928774238576816,2.1565118779159174,2.1757463947288214,-0.17677669529663687,0.22611657185545447,-0.47954021237489086,-0.41365397774829327,-0.4235336263518316,-0.26722594102942243,-0.4719603782516662,0.5059331285741381,0.6188700397421181,-0.1036054207382334
139,-0.3863549383626953,-0.5020122625138268,0.08208180661762007,-0.1414014466817526,0.7811766216026834,1.9948321621481415,2.2542290038665667,-0.17677669529663687,0.19038640722768116,-0.4782284327443926,-0.41365397774829327,-0.4235336263518316,-0.2576824841841634,-0.4719603782516662,0.5059331285741381,0.7374881892794558,-0.23775797458102854
140,-0.37174993217200336,-0.3458278392439251,-1.0844217352301069,-0.7034555338511593,0.702100333405889,-1.2098341986964407,-0.19181231425982795,-0.17677669529663687,-1.4210443287503736,-0.6014142065617895,2.0986287327765414,-0.40361508466363166,0.9389857313369772,-0.4719603782516662,-1.7778033437522034,0.9549547967645753,-0.4026691513453344
141,-0.7405613482575534,-0.5020122625138268,0.08208180661762007,-0.1414014466817526,0.7811766216026834,1.9948321621481415,2.2542290038665667,-0.17677669529663687,0.19038640722768116,-0.4782284327443926,-0.41365397774829327,-0.4235336263518316,-0.2576824841841634,-0.4719603782516662,0.5059331285741381,0.7374881892794558,-0.23775797458102854
142,-0.5955143663329618,-0.5048240626595843,0.6085680045199552,0.2658765689582043,0.5003516924904656,1.8594407394608372,2.146315416302167,-0.17677669529663687,-0.4581103223549944,-0.5401906245704101,-0.41365397774829327,-0.4235336263518316,-0.5771118389407063,-0.4719603782516662,0.5059331285741381,1.0933426378914695,-0.09713600542009274
147,-0.486002490574146,-0.186026785691912,0.5905699399452228,-0.8510620114810452,-2.677094023364096,-0.34074754756755765,-0.20816285783019156,-0.17677669529663687,2.1678124343833174,4.199792151158568,-0.41365397774829327,-0.4235336263518316,1.390422924558604,-0.4719603782516662,-1.3909510935299836,-1.3976385023926257,-0.4026691513453344
153,-0.2852586893692212,-0.14835096072693704,-0.8255086155333807,-0.34890650375202126,0.3073732362282092,-0.47413780382583604,-0.6888688387988814,-0.17677669529663687,-0.2990287600415321,-0.4890236402352055,-0.41365397774829327,-0.4111906611745536,-0.5689742393359883,-0.4719603782516662,0.3582938639965759,0.6188700397421181,-0.4026691513453344
